AM03632	GB11008
AM07022	GB14424
AM08575	GB15993
AM09924	GB17349
AM11850	GB19297
AM02807	GB10180
AM05071	GB12454
AM05467	GB12853
AM05896	GB13289
AM05984	GB30507
AM08227	GB15643
AM08310	GB15727
AM09968	GB17395
AM10191	GB17617
AM02694	GB10066
AM02759	GB10131
AM02880	GB10253
AM03203	GB10576
AM03698	GB11074
AM03904	GB11281
AM03979	GB11358
AM04186	GB11566
AM04810	GB12189
AM05401	GB12786
AM06281	GB13683
AM06577	GB13979
AM07452	GB14857
AM07997	GB15409
AM08666	GB16085
AM09453	GB16876
AM10320	GB17747
AM11637	GB19082
AM12911	GB30463
AM03113	GB10486
AM03144	GB10517
AM03386	GB10761
AM03604	GB10982
AM03864	GB11241
AM03868	GB11245
AM03985	GB11364
AM04219	GB11599
AM04697	GB12080
AM04817	GB12197
AM05182	GB12566
AM05770	GB13161
AM05895	GB13288
AM06127	GB13525
AM06234	GB13636
AM06567	GB13969
AM06749	GB14149
AM08768	GB16191
AM08801	GB30199
AM08839	GB16259
AM09872	GB17297
AM11106	GB18546
AM11174	GB18613
AM11203	GB18642
AM11211	GB18650
AM11487	GB18930
AM12063	GB30504
AM12557	GB20010
AM02766	GB10138
AM03253	GB10650
AM03352	GB10727
AM03504	GB10879
AM03676	GB30186
AM03820	GB11197
AM04031	GB11410
AM04129	GB11509
AM04477	GB11858
AM04563	GB11946
AM04568	GB11950
AM04605	GB11988
AM04676	GB12059
AM04878	GB12258
AM05051	GB12434
AM05201	GB12585
AM05603	GB12992
AM05806	GB13198
AM06184	GB13584
AM06364	GB13765
AM06452	GB13853
AM06595	GB13997
AM07246	GB14649
AM07352	GB14757
AM07740	GB15150
AM07840	GB15251
AM07916	GB15328
AM08077	GB15492
AM08724	GB16145
AM09040	GB16461
AM09108	GB16529
AM09188	GB16610
AM09440	GB16863
AM10040	GB17469
AM10150	GB17578
AM10536	GB17963
AM10871	GB18306
AM11101	GB18541
AM11267	GB18706
AM11466	GB18909
AM11656	GB19102
AM12385	GB19838
AM12426	GB19879
AM00009	GB30209
