TF Probe	Target Probe
AM04372	AM06524
AM04372	AM08011
AM04372	AM11471
AM04372	AM12884R
AM04372	AM01794
AM04372	AM11567
AM04372	AM05501
AM04372	AM11912
AM04372	AM05582
AM04372	AM07211
AM04372	AM08410
AM04372	AM09086
AM04372	AM10949
AM04372	AM11165
AM04372	AM08391
AM04372	AM02487
AM07134	AM00497
AM07134	AM02176
AM07134	AM03238
AM07134	AM03755
AM07134	AM00344
AM07134	AM08797
AM07134	AM11769
AM07134	AM00575
AM07134	AM03365
AM07134	AM07473
AM07134	AM11084
AM07134	AM00002
AM07134	AM04317
AM07134	AM02000
AM07134	AM01196
AM07134	AM01795
AM07134	AM09425
AM07134	AM09528
AM07134	AM00653R
AM07134	AM10025
AM08152	AM05991
AM08152	AM02490
AM08152	AM05950
AM08152	AM00832
AM08152	AM07220
AM08152	AM02725
AM08152	AM06915
AM08152	AM11455
AM08152	AM01036
AM08152	AM05501
AM09409	AM01395
AM09409	AM02599
AM09409	AM02725
AM09409	AM10280
AM09409	AM11026
AM09409	AM03071
AM09409	AM03310
AM09409	AM04363
AM09409	AM04871
AM09409	AM06303
AM09409	AM08797
AM09409	AM09645
AM09409	AM11117
AM09409	AM00616
AM09409	AM03287
AM09409	AM03428
AM09409	AM03895
AM09409	AM07275
AM09409	AM08705
AM09409	AM09050
AM09409	AM09296
AM09409	AM02980
AM09409	AM05991
AM09409	AM07312
AM09409	AM07377
AM09409	AM08933
AM09409	AM09773
AM09409	AM10425
AM09409	AM11200
AM09409	AM01324
AM09409	AM01741
AM09409	AM01853
AM09409	AM02053
AM09409	AM04589
AM09409	AM05037
AM09409	AM05474
AM09409	AM06915
AM09409	AM07692
AM09409	AM09797
AM09409	AM12370
AM09409	AM00394
AM09409	AM02991
AM09409	AM04772
AM09409	AM07750
AM09409	AM11273
AM09409	AM12066
AM09409	AM12105
AM09409	AM01795
AM09409	AM03795
AM09409	AM04368
AM09409	AM04644
AM09409	AM08075
AM09409	AM12355
AM09409	AM01344
AM09409	AM01382
AM09409	AM01913
AM09409	AM04317
AM09409	AM04642
AM09409	AM04927
AM09409	AM09649
AM09409	AM01046
AM09409	AM02115
AM09409	AM02578
AM09409	AM05310
AM09409	AM09541
AM09409	AM11989
AM09409	AM12581
AM09409	AM01143
AM09409	AM09457
AM09409	AM09565
AM09409	AM12719
AM00513	AM11481
AM00513	AM01198
AM00513	AM06922
AM00513	AM06330
AM00513	AM09011
AM00513	AM01527
AM00513	AM07595
AM00513	AM09398
AM00513	AM11135
AM00513	AM12792
AM00513	AM08526
AM00513	AM09575
AM09973	AM01982
AM09973	AM02464
AM09973	AM07133
AM09973	AM07813
AM09973	AM06781
AM09973	AM09285
AM09973	AM10484
AM09973	AM04025
AM09973	AM05193
AM09973	AM06177
AM09973	AM07684
AM09973	AM10129
AM09973	AM12409
AM09973	AM02501
AM09973	AM07443
AM09973	AM09785
AM09973	AM04607
AM09973	AM08018
AM09973	AM02308
AM09973	AM07311
AM09973	AM07205
AM09973	AM08913
AM04324	AM07908
AM04324	AM00998
AM04324	AM12667
AM04324	AM02168
AM04324	AM02756
AM04324	AM04479
AM04324	AM09346
AM04324	AM11058
AM04324	AM01779
AM04324	AM04069
AM04324	AM04936
AM04324	AM06015
AM04324	AM09783
AM04324	AM10786
AM04324	AM01097
AM04324	AM01640
AM04324	AM04448
AM04324	AM11081
AM04324	AM04935
AM04324	AM09500
AM09256	AM00093
AM09256	AM00493
AM09256	AM01067
AM09256	AM02308
AM09256	AM03888
AM09256	AM04459
AM09256	AM04566
AM09256	AM04629
AM09256	AM05262
AM09256	AM05884
AM09256	AM06171
AM09256	AM06449
AM09256	AM06985
AM09256	AM07405
AM09256	AM07495
AM09256	AM07752
AM09256	AM07812
AM09256	AM07939
AM09256	AM08241
AM09256	AM08753
AM09256	AM09211
AM09256	AM09241
AM09256	AM10258
AM09256	AM11021
AM09256	AM11028
AM09256	AM11534
AM09256	AM11561
AM09256	AM12122
AM09256	AM12288
AM09256	AM12468
AM09256	AM03255
AM09256	AM04803
AM09256	AM05036
AM09256	AM05633
AM09256	AM06427
AM09256	AM07395
AM09256	AM07579
AM09256	AM09126
AM09256	AM09441
AM09256	AM09635
AM09256	AM10108
AM09256	AM10303
AM09256	AM11156
AM09256	AM12313
AM09256	AM01339
AM09256	AM01771
AM09256	AM06340
AM09256	AM06986
AM09256	AM08483
AM09256	AM10121
AM09256	AM10301
AM09256	AM12277
AM09256	AM04801
AM09256	AM05615
AM09256	AM06244
AM09256	AM07316
AM09256	AM07468
AM09256	AM08697
AM09256	AM09353
AM09256	AM10388
AM09256	AM11635
AM09256	AM11838
AM09256	AM00891
AM09256	AM08107
AM09256	AM11783
AM09256	AM12342
AM09256	AM02634
AM09256	AM04347
AM09256	AM04512
AM09256	AM06304
AM09256	AM07222
AM09256	AM07610
AM09256	AM11052
AM09256	AM05806
AM09256	AM08713
AM09256	AM08919
AM09256	AM12451
AM09256	AM05088
AM09256	AM10761
AM09256	AM07710
AM09256	AM10441
AM09256	AM11861
AM09256	AM06226
AM09256	AM09621
AM10508	AM03582
AM10508	AM04025
AM10508	AM05080
AM10508	AM06371
AM10508	AM06611
AM10508	AM06625
AM10508	AM06914
AM10508	AM07603
AM10508	AM08362
AM10508	AM08831
AM10508	AM08969
AM10508	AM09086
AM10508	AM10874
AM10508	AM11323
AM10508	AM12509
AM10508	AM12649
AM10508	AM02409
AM10508	AM03286
AM10508	AM06609
AM10508	AM08425
AM10508	AM10514
AM10508	AM06288
AM10508	AM07211
AM10508	AM10846
AM10508	AM03229
AM10508	AM09326
AM10508	AM09799
AM10508	AM10428
AM10508	AM11896
AM10508	AM01033
AM10508	AM03981
AM10508	AM04357
AM10508	AM08720
AM10508	AM02854
AM10508	AM04161
AM10508	AM09353
AM10508	AM10484
AM10508	AM04461
AM10508	AM05377
AM10508	AM03149
AM10508	AM05794
AM11145	AM00054
AM11146	AM08390
AM11146	AM10518
AM11146	AM06900
AM11146	AM07012
AM11146	AM07466
AM11146	AM08896
AM11146	AM00158
AM11146	AM02050
AM11146	AM04607
AM11146	AM05467
AM11146	AM08637
AM11146	AM08884
AM11146	AM09958
AM11146	AM05695
AM11146	AM06452
AM11146	AM09285
AM11146	AM00674
AM11146	AM02574
AM11146	AM05079
AM11146	AM06148
AM11146	AM07388
AM11146	AM03854
AM11146	AM03988
AM11146	AM06065
AM11146	AM06427
AM11146	AM12112
AM11146	AM10428
AM11146	AM04116
AM11146	AM05262
AM11146	AM06304
AM11146	AM04629
AM11146	AM06985
AM11146	AM12122
AM09684	AM04820
AM09684	AM06740
AM09684	AM08265
AM09684	AM12659
AM09684	AM00495
AM09684	AM10447
AM09684	AM12461
AM09684	AM08610
AM09684	AM10069
AM09684	AM11454
AM09684	AM03951
AM09684	AM05731
AM09684	AM03544
AM09684	AM06806
AM09684	AM10033
AM09684	AM05685
AM09684	AM00160
AM09684	AM01028
AM09684	AM01051
AM09684	AM04368
AM09684	AM08803
AM09684	AM00794
AM09684	AM01078
AM05273	AM04781
AM05273	AM08831
AM05273	AM09677
AM05273	AM09219
AM05273	AM12509
AM05273	AM01134
AM05273	AM06269
AM05273	AM04120
AM06361	AM07559
AM06361	AM11075
AM06361	AM08598
AM06361	AM10731
AM06361	AM07222
AM06361	AM06683
AM12400	AM02695
AM12400	AM03187
AM12400	AM11694
AM12400	AM11878
AM12400	AM00937
AM12400	AM08105
AM12400	AM10866
AM12400	AM00956
AM12400	AM01988
AM12400	AM02196
AM12400	AM04370
AM12400	AM04371
AM12400	AM09736
AM12400	AM10786
AM12400	AM00561
AM12400	AM00674
AM12400	AM05186
AM12400	AM07383
AM12400	AM07992
AM12400	AM08347
AM12400	AM08884
AM12400	AM09564
AM12400	AM01852
AM12400	AM06177
AM12400	AM07029
AM12400	AM07898
AM12400	AM09751
AM12400	AM10649
AM12400	AM11627
AM12400	AM02856
AM12400	AM08986
AM12400	AM09067
AM12400	AM03519
AM12400	AM10118
AM12400	AM10438
AM12400	AM12409
AM12400	AM02807
AM12400	AM04803
AM12400	AM10334
AM12400	AM00470
AM12400	AM01641
AM12400	AM01690
AM12400	AM06148
AM12400	AM00159
AM12400	AM02308
AM12400	AM04269
AM12400	AM11471
AM10329	AM03231
AM10329	AM05374
AM10329	AM05795
AM10329	AM08270
AM10329	AM08391
AM10329	AM08517
AM10329	AM12043
AM10329	AM12309
AM10329	AM12461
AM10329	AM00578R
AM10329	AM03684
AM10329	AM05592
AM10329	AM05991
AM10329	AM06365
AM10329	AM10535
AM10329	AM11165
AM10329	AM11455
AM10329	AM11642
AM10329	AM12478
AM10329	AM12659
