Grozinger 2003,Thompson 2006,Grozinger 2007,Thompson 2008,Oxley 2008,Linksvayer 2009,Cardoen 2011,Cardoen 2012,Wang 2012,Nui 2014,Galbraith 2016 ,Camiletti 2016 ,Mullen 2014,Koywiwattrakul 2005,Thompson 2007,Brito 2010,Formesyn 2014,Ronai 2016 ,Duncan 2016,Sobotka 2016
GB53086,GB55210,GB53862,GB44367,GB50154,GB52446,GB54283,GB49544,GB47385,GB46832,GB40286,GB40730,GB48028,GB50226,GB49994,GB49544,GB54477,GB48961,GB49149,GB42142
GB49320,GB55213,GB55039,GB45615,GB50151,GB45120,GB44654,,,GB52995,GB42284,GB42647,GB44031,GB49544,GB47385,,,GB49154,,GB17617
GB47385,GB55204,GB51278,GB49544,GB50001,GB45040,GB47215,,,GB54460,GB46084,,GB42706,,GB55324,,,,,
GB45215,GB51793,GB41821,GB52317,GB50159,GB45005,GB55877,,,GB43269,GB44989,,GB43660,,GB48994,,,,,
GB54929,GB40626,GB44841,GB52308,GB50155,GB45175,GB40629,,,GB52402,GB50882,,GB54774,,GB55205,,,,,
GB51031,GB55208,GB55378,,,,GB46436,,,GB16006,GB45182,,GB40648,,GB55208,,,,,
GB41801,GB55206,GB43054,,,,GB49726,,,GB42361,GB55450,,GB44032,,GB40102,,,,,
GB55074,GB52999,GB40670,,,,GB46878,,,GB52373,GB44717,,GB55033,,GB50226,,,,,
GB55891,GB47747,GB54634,,,,GB49541,,,GB44895,GB41428,,GB47057,,GB55209,,,,,
GB49589,GB42053,GB44798,,,,GB43114,,,GB47952,GB54397,,GB47039,,,,,,,
GB43828,GB54053,GB53989,,,,GB48709,,,GB49914,GB47943,,GB49105,,,,,,,
GB53589,GB49994,GB54151,,,,GB44697,,,GB50565,GB51173,,GB42000,,,,,,,
GB46475,GB50136,GB41917,,,,GB48009,,,GB40186,GB53264,,GB44311,,,,,,,
GB53948,GB40240,GB47977,,,,GB40750,,,GB40186,GB55449,,GB44773,,,,,,,
GB48113,GB53421,GB40770,,,,GB49160,,,GB54517,GB44975,,GB47431,,,,,,,
GB49160,GB48017,GB40283,,,,GB40577,,,GB52399,GB49501,,GB40113,,,,,,,
GB45667,GB48961,GB49801,,,,GB48602,,,GB54522,GB42182,,GB41672,,,,,,,
GB44435,GB55657,GB44791,,,,GB55843,,,GB50363,GB47484,,,,,,,,,
GB48111,GB55212,GB54355,,,,GB45736,,,GB45553,GB55171,,,,,,,,,
GB49598,GB48013,GB42054,,,,GB50245,,,GB51373,GB52832,,,,,,,,,
GB45698,GB55209,GB45617,,,,GB52331,,,GB44043,GB55201,,,,,,,,,
GB48248,GB54054,GB50415,,,,GB49166,,,GB51200,GB54969,,,,,,,,,
