Probe	GB3.2
AM00001	GB43560
AM00002	GB40263
AM00003	GB44159
AM00004	GB44159
AM00005	GB44159
AM00006	GB44159
AM00007	GB44159
AM00008	GB44159
AM00009	GB44159
AM00010	GB44159
AM00011	GB44159
AM00012	GB44159
AM00013	GB43462
AM00014	GB44159
AM00016	GB44159
AM00024	GB45650
AM00035	GB52601
AM00037	GB48361
AM00037R	GB48361
AM00040	GB48273
AM00040R	GB48273
AM00042	GB50160
AM00042R	GB50160
AM00046	GB49921
AM00046R	GB49921
AM00054	GB55760
AM00054R	GB55760
AM00058	GB44134
AM00058R	GB44134
AM00067	GB40592
AM00072	GB47385
AM00072R	GB47385
AM00077	GB48299
AM00091	GB44800
AM00092	GB51482
AM00093	GB43561
AM00094	GB48156
AM00095	GB44344
AM00096	GB50062
AM00098	GB44078
AM00099	GB49440
AM00100	GB45063
AM00101	GB53405
AM00102	GB51583
AM00103	GB44157
AM00104	GB44157
AM00105	GB44157
AM00106	GB44157
AM00107	GB44157
AM00108	GB44157
AM00109	GB44157
AM00110	GB44157
AM00111	GB44157
AM00112	GB44157
AM00116	GB44157
AM00119	GB44158
AM00120	GB51398
AM00122	GB44158
AM00123	GB44158
AM00125	GB44158
AM00126	GB44158
AM00127	GB44158
AM00131	GB55272
AM00132	GB44158
AM00133	GB44158
AM00134	GB44158
AM00137	GB44158
AM00138	GB44158
AM00140	GB44158
AM00142	GB43162
AM00147	GB44158
AM00149	GB44158
AM00152	GB44158
AM00153	GB40271
AM00154	GB44158
AM00155	GB44158
AM00156	GB44158
AM00157	GB44158
AM00158	GB44158
AM00159	GB44158
AM00160	GB44158
AM00161	GB44158
AM00162	GB44158
AM00163	GB44158
AM00164	GB44158
AM00165	GB44158
AM00166	GB44158
AM00167	GB44158
AM00168	GB44158
AM00169	GB44158
AM00170	GB44158
AM00171	GB44158
AM00172	GB44158
AM00173	GB44158
AM00174	GB40348
AM00175	GB44972
AM00176	GB52361
AM00177	GB52369
AM00178	GB45079
AM00180	GB45079
AM00181	GB45079
AM00182	GB45081
AM00184	GB40664
AM00185	GB40665
AM00187	GB40666
AM00188	GB52370
AM00189	GB40666
AM00190	GB40667
AM00191	GB40668
AM00192	GB40669
AM00193	GB53347
AM00194	GB53346
AM00195	GB51075
AM00196	GB49018
AM00197	GB46324
AM00198	GB42646
AM00199	GB52371
AM00201	GB55277
AM00203	GB55922
AM00204	GB55924
AM00205	GB55923
AM00206	GB55924
AM00207	GB55924
AM00208	GB55926
AM00209	GB55927
AM00211	GB55927
AM00213	GB48735
AM00217	GB48735
AM00220	GB45224
AM00222	GB42587
AM00223	GB42588
AM00224	GB42589
AM00228	GB48702
AM00229	GB48703
AM00230	GB48703
AM00231	GB48704
AM00236	GB44714
AM00237	GB43354
AM00238	GB52375
AM00239	GB51945
AM00240	GB44708
AM00241	GB41316
AM00242	GB43026
AM00243	GB43023
AM00244	GB43025
AM00246	GB43024
AM00247	GB47952
AM00248	GB47952
AM00249	GB52376
AM00250	GB47953
AM00251	GB52378
AM00252	GB40730
AM00253	GB52379
AM00255	GB52381
AM00256	GB52382
AM00257	GB52386
AM00258	GB52387
AM00259	GB52388
AM00260	GB52362
AM00261	GB52389
AM00263	GB52363
AM00264	GB52400
AM00265	GB52401
AM00266	GB52402
AM00267	GB52403
AM00268	GB52404
AM00269	GB52405
AM00270	GB52406
AM00271	GB52408
AM00272	GB52364
AM00273	GB52408
AM00274	GB52410
AM00276	GB52413
AM00278	GB52414
AM00279	GB51179
AM00280	GB52416
AM00281	GB52365
AM00282	GB52416
AM00284	GB50051
AM00285	GB50052
AM00286	GB50054
AM00287	GB50055
AM00288	GB50056
AM00290	GB47984
AM00291	GB47985
AM00292	GB47986
AM00293	GB47987
AM00295	GB47121
AM00296	GB47122
AM00299	GB40183
AM00300	GB40184
AM00302	GB40185
AM00303	GB40186
AM00304	GB40187
AM00306	GB40190
AM00307	GB40191
AM00308	GB40192
AM00309	GB40194
AM00312	GB40196
AM00314	GB40198
AM00316	GB40201
AM00317	GB40202
AM00318	GB45078
AM00320	GB45079
AM00321	GB49993
AM00322	GB50236
AM00323	GB48833
AM00324	GB42582
AM00325	GB42581
AM00326	GB52202
AM00327	GB52203
AM00328	GB46297
AM00329	GB45957
AM00330	GB52920
AM00331	GB46310
AM00332	GB46299
AM00333	GB50453
AM00334	GB48823
AM00335	GB45553
AM00336	GB46311
AM00337	GB46312
AM00338	GB52824
AM00339	GB47903
AM00341	GB48981
AM00343	GB52161
AM00344	GB48832
AM00345	GB48831
AM00346	GB40299
AM00347	GB40566
AM00348	GB48065
AM00349	GB40446
AM00350	GB42585
AM00351	GB51306
AM00352	GB47546
AM00353	GB51306
AM00354	GB51306
AM00355	GB51306
AM00356	GB47546
AM00357	GB47546
AM00358	GB51306
AM00359	GB47546
AM00360	GB47546
AM00362	GB47278
AM00378	GB47696
AM00379	GB47696
AM00379R	GB47696
AM00403	GB43208
AM00403R	GB43208
AM00416	GB41767
AM00417	GB41766
AM00417R	GB41766
AM00495	GB42753
