GB	GBold
GB40001	NULL
GB40002	NULL
GB40003	NULL
GB40005	NULL
GB40006	NULL
GB40007	NULL
GB40008	NULL
GB40009	GB11731
GB40010	GB11731
GB40011	NULL
GB40012	GB16776
GB40013	GB17455
GB40014	GB15620
GB40015	GB17052
GB40016	GB16668
GB40017	GB11279
GB40018	NULL
GB40019	GB12181
GB40020	GB15215
GB40021	GB16806
GB40022	GB17022
GB40023	NULL
GB40024	NULL
GB40025	GB16503
GB40026	GB16503
GB40027	GB16503
GB40028	GB11459
GB40029	NULL
GB40030	GB15068
GB40031	NULL
GB40032	GB15020
GB40033	NULL
GB40034	NULL
GB40035	NULL
GB40038	NULL
GB40039	NULL
GB40047	NULL
GB40050	NULL
GB40053	GB10022
GB40054	GB10022
GB40056	GB19079
GB40057	GB14789
GB40058	NULL
GB40059	NULL
GB40060	GB11271
GB40061	GB16594
GB40063	GB12206
GB40064	GB12206
GB40065	NULL
GB40066	NULL
GB40067	GB11994
GB40069	GB19310
GB40070	GB10755
GB40071	GB14412
GB40072	GB10777
GB40073	GB19794
GB40074	NULL
GB40075	GB16423
GB40076	GB15192
GB40077	GB19085
GB40078	NULL
GB40079	NULL
GB40080	NULL
GB40081	NULL
GB40082	NULL
GB40083	NULL
GB40084	NULL
GB40085	GB19090
GB40086	GB12014
GB40087	GB17403
GB40088	NULL
GB40089	GB17403
GB40090	NULL
GB40091	GB11453
GB40092	NULL
GB40093	NULL
GB40094	NULL
GB40095	NULL
GB40096	NULL
GB40097	NULL
GB40098	GB12261
GB40100	GB10346
GB40101	NULL
GB40102	GB16306
GB40103	NULL
GB40104	NULL
GB40105	NULL
GB40106	GB20085
GB40107	GB14482
GB40108	GB17877
GB40109	GB13792
GB40110	NULL
GB40111	NULL
GB40112	GB17157
GB40113	GB14623
GB40114	NULL
GB40115	NULL
GB40116	NULL
GB40117	NULL
GB40118	GB19979
GB40119	GB13982
GB40120	GB18158
GB40121	GB18158
GB40122	GB20146
GB40123	GB20065
GB40124	GB20065
GB40125	NULL
GB40126	GB13425
GB40127	NULL
GB40128	GB19033
GB40129	NULL
GB40130	GB15811
GB40131	NULL
GB40132	GB11727
GB40133	NULL
GB40134	GB11727
GB40135	NULL
GB40136	NULL
GB40137	GB14603
GB40138	GB11511
GB40139	GB11371
GB40140	GB16994
GB40141	GB14710
GB40142	NULL
GB40143	NULL
GB40144	NULL
GB40145	GB17678
GB40146	GB10012
GB40147	NULL
GB40148	NULL
GB40149	NULL
GB40150	GB17788
GB40151	GB12116
GB40153	NULL
GB40154	GB16963
GB40155	GB16963
GB40156	NULL
GB40157	GB12562
GB40158	GB11271
GB40159	NULL
GB40160	NULL
GB40161	GB13893
GB40162	GB13893
GB40163	GB10231
GB40164	GB15106
GB40165	GB12811
GB40166	GB15428
GB40167	NULL
GB40168	GB15428
GB40169	GB16092
GB40170	NULL
GB40179	NULL
GB40180	NULL
GB40182	NULL
GB40183	GB11248
GB40184	NULL
GB40185	GB11248
GB40186	GB11878
GB40187	NULL
GB40188	NULL
GB40189	NULL
GB40190	NULL
GB40191	NULL
GB40192	NULL
GB40193	NULL
GB40194	NULL
GB40195	NULL
GB40196	NULL
GB40197	GB13011
GB40198	GB13011
GB40199	NULL
GB40200	GB18391
GB40201	NULL
GB40202	NULL
GB40203	GB14567
GB40204	GB16559
GB40205	GB16559
GB40206	GB12026
GB40207	GB11684
GB40208	GB19636
GB40209	NULL
GB40210	NULL
GB40211	NULL
GB40212	GB11499
GB40213	NULL
GB40214	NULL
GB40216	NULL
GB40217	GB19871
GB40218	NULL
GB40219	NULL
GB40221	GB18505
GB40222	NULL
GB40223	NULL
GB40224	NULL
GB40225	GB16724
GB40226	NULL
GB40227	GB10764
GB40228	NULL
GB40229	NULL
GB40230	NULL
GB40231	GB10059
GB40232	GB19380
GB40233	GB20043
GB40234	GB20043
GB40237	GB19863
GB40238	GB20030
GB40239	GB19756
GB40240	GB13399
GB40241	NULL
GB40242	NULL
GB40243	GB14033
GB40246	NULL
GB40248	GB12136
GB40250	NULL
GB40251	GB12724
GB40252	NULL
GB40253	NULL
GB40258	NULL
GB40259	NULL
GB40261	GB16552
GB40262	GB18965
GB40263	GB18965
GB40264	NULL
GB40265	NULL
GB40266	NULL
GB40267	GB14287
GB40268	NULL
GB40269	GB10336
GB40270	NULL
GB40271	NULL
GB40273	NULL
GB40274	GB18860
GB40277	NULL
GB40278	GB15807
GB40279	NULL
GB40280	GB19885
GB40281	GB11354
GB40282	GB11354
GB40283	GB15653
GB40284	GB14594
GB40285	NULL
GB40286	GB12885
GB40287	GB17831
GB40288	GB16899
GB40289	GB16073
GB40291	NULL
GB40292	NULL
GB40293	NULL
GB40294	NULL
GB40296	GB19054
GB40297	GB16327
GB40298	NULL
GB40299	GB20042
GB40300	GB12384
GB40301	GB12384
GB40302	GB11056
GB40303	GB16366
GB40304	GB13080
GB40305	GB17868
GB40306	GB16388
GB40307	GB18029
GB40308	GB15809
GB40309	NULL
GB40310	GB14163
GB40311	GB12384
GB40312	GB10815
GB40313	GB10815
GB40314	NULL
GB40315	GB17658
GB40316	GB17658
GB40317	NULL
GB40318	GB10873
GB40319	GB19221
GB40320	GB10850
GB40321	NULL
GB40324	NULL
GB40326	NULL
GB40327	NULL
